85.8,13.25
91.8,16.75
102.3,25.25
110.8,36.75
117.8,48.75
120.3,62.75
122.3,76.75
122.3,85.75
123.3,99.75
120.3,108.75
115.8,114.25
109.8,119.25
107.8,128.75
100.8,142.25
97.8,147.75
89.8,152.75
85.8,157.25
79.3,162.75
69.8,167.75
61.8,170.25
52.3,170.75
40.3,170.75
31.8,169.75
20.8,165.75
16.3,163.25
13.8,154.75
13.8,146.75
12.8,136.75
11.8,128.25
9.8,116.75
9.8,107.25
12.3,98.25
18.8,81.75
24.8,72.25
23.3,61.75
21.8,54.25
22.3,41.25
27.8,36.25
37.8,32.75
45.3,24.75
52.3,17.25
57.3,11.75
63.3,10.25
77.8,10.75
85.8,13.25
