26.3,92.25
30.3,104.25
33.8,114.25
40.8,123.75
47.3,131.75
53.8,139.25
58.3,149.75
63.8,157.25
72.8,164.25
84.8,166.75
97.3,163.75
104.8,155.75
110.8,147.75
116.8,138.75
120.8,131.25
123.3,122.25
125.8,114.25
127.8,105.25
126.8,96.25
122.8,91.25
119.3,83.75
116.8,76.75
112.8,69.25
111.3,62.75
108.8,55.75
103.8,50.25
94.3,47.25
86.8,46.75
78.8,41.25
71.3,35.75
66.3,30.75
60.8,24.25
54.3,24.25
43.8,24.75
36.3,18.25
29.8,13.25
22.8,9.75
17.3,11.75
13.8,15.75
10.8,23.25
9.8,30.75
14.3,37.75
14.8,44.25
13.3,51.75
11.3,58.25
11.3,64.25
12.3,71.25
16.3,75.25
18.8,79.25
22.3,83.75
25.3,88.25
26.3,92.25
