126.3,35.25
139.8,48.75
160.3,57.25
177.3,63.75
188.3,70.75
201.3,78.75
214.3,88.25
224.3,98.25
229.8,110.25
229.8,117.75
230.8,130.25
229.8,141.75
228.3,149.75
224.3,155.25
215.3,159.25
204.8,160.25
193.3,160.25
178.8,161.75
166.8,161.75
151.3,160.75
141.3,162.75
128.8,165.25
118.8,166.75
105.3,164.75
98.3,163.75
83.8,163.75
72.3,163.75
60.3,164.75
46.3,162.25
40.3,160.75
31.8,158.75
23.3,154.75
18.3,149.75
14.8,144.25
12.3,135.25
15.8,122.75
18.3,116.25
20.3,107.25
20.3,98.75
15.3,86.25
11.3,76.25
9.8,63.75
9.8,52.25
17.8,41.25
22.8,34.25
28.3,25.75
36.8,25.25
46.8,33.25
58.3,35.25
64.3,32.75
74.8,25.75
83.3,17.75
89.8,14.25
99.3,9.75
110.8,11.75
112.8,15.75
126.3,35.25
