90,9.62
103.5,9.62
119.25,11.87
136.5,14.12
142.5,14.87
148.5,20.87
151.5,28.37
157.5,37.37
172.5,36.62
179.25,44.12
181.5,50.12
183.75,58.37
188.25,70.37
192,85.37
192.75,95.12
195.75,104.87
197.25,117.62
192.75,125.87
188.25,133.37
178.5,138.62
159.75,143.12
146.25,146.87
126.75,150.62
113.25,153.62
92.25,152.12
81,147.62
66.75,146.12
55.5,143.12
42,139.37
33,135.62
26.25,131.12
22.5,125.12
15,111.62
12,101.87
9.75,89.87
9.75,79.37
13.5,70.37
16.5,62.87
15,49.37
19.5,42.62
27.75,36.62
40.5,33.62
53.25,31.37
63.75,26.12
72,21.62
81.75,12.62
90,9.62
