302.38,144.63
300.63,146.13
299.13,148.88
296.63,150.88
293.88,153.13
289.13,154.13
287.13,154.38
283.88,154.88
280.38,154.88
276.88,153.88
274.88,152.63
273.13,151.38
272.13,149.13
271.38,145.13
271.38,142.63
271.38,139.13
271.38,136.63
271.88,134.38
271.88,131.88
272.88,129.13
273.88,126.88
275.13,124.63
275.88,121.38
276.13,119.13
277.38,116.38
278.88,114.38
281.38,112.63
283.38,111.88
287.13,109.88
289.88,109.88
293.63,110.63
294.88,112.88
297.63,116.13
299.88,119.38
302.63,122.88
303.88,125.63
303.88,128.63
303.88,131.38
304.13,134.88
304.13,136.88
303.13,139.13
303.13,142.13
302.38,144.63
