32,110.5
40,104
50.5,91.5
60.5,80
72,67
81,59
88.5,53.5
94.5,48
99.5,44
115,43.5
120.5,43.5
131,39.5
151.5,31
168.5,27.5
175.5,22
190.5,16
201,13
216.5,9.5
229,10
242.5,14
254.5,22
276,36
287.5,46.5
295,54.5
317,73.5
327,86
338,97.5
344,109
345,128.5
341.5,148
338,168
333,187
330,199
324.5,212
317,218.5
305,226.5
291,230.5
266.5,239
252,244.5
240.5,249.5
220,258.5
210,262
196.5,264.5
187,265.5
174,272.5
169.5,278.5
164.5,279
151,276
132,272.5
121,269.5
101,263
89.5,260
72.5,254.5
59.5,251
50.5,245
42.5,235.5
36.5,225.5
32,211.5
25.5,195.5
20,183.5
14,166.5
10.5,158.5
9.5,147
15.5,138.5
20,130.5
29,116.5
32,110.5
