363.5,210.3
335.5,230.3
324.5,243.3
317.5,250.3
287.5,261.3
279.5,264.3
263.5,270.3
249.5,278.3
227.5,280.3
208.5,282.3
179.5,282.3
155.5,283.3
119.5,277.3
102.5,277.3
80.5,277.3
64.5,269.3
50.5,250.3
36.5,236.3
24.5,216.3
18.5,204.3
13.5,187.3
12.5,171.3
13.5,149.3
12.5,133.3
9.5,124.3
9.5,99.25
11.5,89.25
22.5,68.25
30.5,57.25
39.5,48.25
53.5,34.25
63.5,26.25
83.5,19.25
103.5,13.25
136.5,14.25
165.5,10.25
189.5,12.25
211.5,10.25
228.5,14.25
253.5,22.25
282.5,19.25
302.5,27.25
312.5,35.25
327.5,51.25
339.5,62.25
352.5,57.25
369.5,61.25
387.5,72.25
400.5,82.25
405.5,95.25
411.5,105.25
422.5,122.3
426.5,141.3
426.5,151.3
419.5,160.3
413.5,168.3
412.5,176.3
412.5,187.3
407.5,194.3
386.5,199.3
381.5,203.3
363.5,210.3
